epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1046.97,1.57307,1.21922,0.9193,1,0.83496,0.89557,0.35934,1.93431,1.53529,0.92819,0.0011684,0.0011684,0.0011684
44,1078.4,1.61422,1.23275,0.96638,1,0.77066,0.8474,0.36603,1.92267,1.55023,0.91894,0.0011486,0.0011486,0.0011486
45,1108.07,1.60039,1.25758,0.93415,0.98338,0.73684,0.85395,0.38182,1.87809,1.48755,0.90465,0.0011288,0.0011288,0.0011288
46,1134.69,1.60425,1.54177,0.88287,0.90576,0.73684,0.85033,0.38391,1.76912,1.39293,0.90262,0.001109,0.001109,0.001109
47,1161.15,1.72178,1.31989,0.93769,0.94322,0.63158,0.80014,0.37331,1.71967,1.37474,0.89986,0.0010892,0.0010892,0.0010892
48,1188.23,1.70356,1.29243,0.9581,0.95946,0.73684,0.87406,0.42474,1.61377,1.43199,0.89782,0.0010694,0.0010694,0.0010694
49,1214.56,1.63995,1.19967,0.96429,0.88175,0.78516,0.86635,0.40719,1.5947,1.41129,0.89578,0.0010496,0.0010496,0.0010496
50,1238.98,1.67917,1.2927,0.96795,0.85225,0.68421,0.75725,0.40221,1.79706,1.51651,0.91395,0.0010298,0.0010298,0.0010298
51,1262.79,1.67169,1.19017,0.94175,0.83226,0.78373,0.76012,0.3925,1.86403,1.51641,0.91645,0.00101,0.00101,0.00101
52,1288.08,1.59054,1.32795,0.93787,0.88234,0.84211,0.81392,0.39973,1.80974,1.33686,0.89816,0.0009902,0.0009902,0.0009902
53,1313.54,1.53836,1.16584,0.91077,1,0.8796,0.90552,0.41125,1.77137,1.28225,0.89405,0.0009704,0.0009704,0.0009704
54,1337.26,1.59534,1.12794,0.94467,0.94051,0.83251,0.8293,0.4223,1.6683,1.21977,0.88984,0.0009506,0.0009506,0.0009506
55,1361.43,1.56798,1.02351,0.95231,0.87995,0.84211,0.82503,0.37229,1.7013,1.20344,0.89827,0.0009308,0.0009308,0.0009308
56,1384.75,1.65453,1.16145,0.91248,0.87749,0.84211,0.84003,0.36602,1.67426,1.21871,0.90102,0.000911,0.000911,0.000911
57,1408.2,1.54171,1.01316,0.95409,0.94325,0.87557,0.93531,0.40942,1.64637,1.19482,0.89767,0.0008912,0.0008912,0.0008912
58,1431.75,1.63129,1.06014,0.92514,1,0.82606,0.91848,0.47157,1.54189,1.24318,0.88791,0.0008714,0.0008714,0.0008714
59,1455.67,1.46639,1.12539,0.94465,0.9984,0.84211,0.88472,0.42102,1.59549,1.23259,0.89075,0.0008516,0.0008516,0.0008516
60,1479.9,1.66429,1.12903,0.95959,1,0.78444,0.8702,0.43464,1.59327,1.15506,0.89779,0.0008318,0.0008318,0.0008318
61,1503.31,1.56225,1.0902,0.91972,1,0.82837,0.88525,0.44403,1.58653,1.10694,0.90028,0.000812,0.000812,0.000812
62,1526.83,1.61818,1.22325,0.85188,0.9758,0.84211,0.94544,0.43859,1.61044,1.13588,0.90177,0.0007922,0.0007922,0.0007922
63,1550.53,1.59029,1.07822,0.91402,1,0.83791,0.90313,0.43029,1.63356,1.11756,0.90365,0.0007724,0.0007724,0.0007724
